time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-02T12:01:15.262948+00:00,"[156, 0, 0, 0, 0, 0]","[47, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.360411+00:00,"[156, 0, 0, 0, 0, 0]","[46, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.506671+00:00,"[156, 0, 0, 0, 0, 0]","[45, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.604171+00:00,"[156, 0, 0, 0, 0, 0]","[44, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.750407+00:00,"[156, 0, 0, 0, 0, 0]","[42, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.847907+00:00,"[156, 0, 0, 0, 0, 0]","[41, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:15.994180+00:00,"[156, 0, 0, 0, 0, 0]","[40, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:16.091664+00:00,"[156, 0, 0, 0, 0, 0]","[39, 0, 0, 0, 0, 0]","[10.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101011', '', '', '', '', '']"
2025-11-02T12:01:16.237948+00:00,"[156, 0, 0, 0, 0, 0]","[37, 0, 0, 0, 0, 0]","[10.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101010', '', '', '', '', '']"
2025-11-02T12:01:16.384192+00:00,"[156, 0, 0, 0, 0, 0]","[36, 0, 0, 0, 0, 0]","[10.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101010', '', '', '', '', '']"
2025-11-02T12:01:16.481682+00:00,"[156, 0, 0, 0, 0, 0]","[35, 0, 0, 0, 0, 0]","[10.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101010', '', '', '', '', '']"
2025-11-02T12:01:16.627930+00:00,"[156, 0, 0, 0, 0, 0]","[34, 0, 0, 0, 0, 0]","[10.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00101010', '', '', '', '', '']"
2025-11-02T12:01:16.725987+00:00,"[156, 164, 0, 0, 0, 0]","[33, 80, 0, 0, 0, 0]","[10.25, 12.0, 0.0, 0.0, 0.0, 0.0]","['00101001', '00110000', '', '', '', '']"
2025-11-02T12:01:16.871734+00:00,"[156, 164, 0, 0, 0, 0]","[31, 79, 0, 0, 0, 0]","[10.25, 12.0, 0.0, 0.0, 0.0, 0.0]","['00101001', '00110000', '', '', '', '']"
2025-11-02T12:01:16.969243+00:00,"[156, 164, 0, 0, 0, 0]","[30, 77, 0, 0, 0, 0]","[10.0, 12.0, 0.0, 0.0, 0.0, 0.0]","['00101000', '00110000', '', '', '', '']"
2025-11-02T12:01:17.115523+00:00,"[156, 164, 168, 0, 0, 0]","[29, 75, 105, 0, 0, 0]","[10.0, 12.0, 11.0, 0.0, 0.0, 0.0]","['00101000', '00110000', '00101100', '', '', '']"
2025-11-02T12:01:17.213083+00:00,"[156, 164, 168, 0, 0, 0]","[28, 74, 104, 0, 0, 0]","[9.75, 12.0, 11.25, 0.0, 0.0, 0.0]","['00100111', '00110000', '00101101', '', '', '']"
2025-11-02T12:01:17.359190+00:00,"[156, 164, 168, 0, 0, 0]","[26, 73, 103, 0, 0, 0]","[9.75, 12.0, 11.25, 0.0, 0.0, 0.0]","['00100111', '00110000', '00101101', '', '', '']"
2025-11-02T12:01:17.505540+00:00,"[156, 164, 168, 0, 0, 0]","[25, 71, 101, 0, 0, 0]","[9.5, 12.0, 11.25, 0.0, 0.0, 0.0]","['00100110', '00110000', '00101101', '', '', '']"
2025-11-02T12:01:17.603022+00:00,"[156, 164, 168, 0, 0, 0]","[24, 70, 100, 0, 0, 0]","[9.5, 12.0, 11.5, 0.0, 0.0, 0.0]","['00100110', '00110000', '00101110', '', '', '']"
2025-11-02T12:01:17.798024+00:00,"[156, 164, 168, 0, 0, 0]","[22, 68, 98, 0, 0, 0]","[9.25, 11.75, 11.5, 0.0, 0.0, 0.0]","['00100101', '00101111', '00101110', '', '', '']"
2025-11-02T12:01:17.895989+00:00,"[156, 168, 164, 168, 0, 0]","[21, 47, 67, 96, 0, 0]","[9.0, 10.5, 11.75, 11.5, 0.0, 0.0]","['00100100', '00101010', '00101111', '00101110', '', '']"
2025-11-02T12:01:17.993390+00:00,"[156, 168, 164, 168, 0, 0]","[20, 46, 65, 95, 0, 0]","[8.75, 10.5, 11.75, 11.75, 0.0, 0.0]","['00100011', '00101010', '00101111', '00101111', '', '']"
2025-11-02T12:01:18.090996+00:00,"[156, 168, 164, 168, 0, 0]","[19, 44, 64, 93, 0, 0]","[8.75, 10.25, 11.5, 11.75, 0.0, 0.0]","['00100011', '00101001', '00101110', '00101111', '', '']"
2025-11-02T12:01:18.237289+00:00,"[156, 168, 164, 168, 0, 0]","[18, 43, 63, 92, 0, 0]","[8.5, 10.25, 11.5, 11.75, 0.0, 0.0]","['00100010', '00101001', '00101110', '00101111', '', '']"
2025-11-02T12:01:18.383500+00:00,"[156, 168, 164, 168, 0, 0]","[17, 43, 61, 90, 0, 0]","[8.25, 10.25, 11.25, 11.75, 0.0, 0.0]","['00100001', '00101001', '00101101', '00101111', '', '']"
2025-11-02T12:01:18.480994+00:00,"[156, 168, 164, 168, 0, 0]","[17, 41, 60, 89, 0, 0]","[7.75, 10.0, 11.25, 11.75, 0.0, 0.0]","['00011111', '00101000', '00101101', '00101111', '', '']"
2025-11-02T12:01:18.627165+00:00,"[156, 168, 164, 168, 0, 0]","[16, 40, 58, 87, 0, 0]","[7.5, 10.0, 11.0, 11.75, 0.0, 0.0]","['00011110', '00101000', '00101100', '00101111', '', '']"
2025-11-02T12:01:18.724835+00:00,"[156, 168, 164, 168, 0, 0]","[16, 40, 57, 86, 0, 0]","[7.25, 10.0, 11.0, 11.75, 0.0, 0.0]","['00011101', '00101000', '00101100', '00101111', '', '']"
