time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:02:18.674548+00:00,"[140, 0, 0, 0, 0, 0]","[11, 0, 0, 0, 0, 0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001100', '', '', '', '', '']"
2025-11-07T13:02:18.820292+00:00,"[140, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001100', '', '', '', '', '']"
2025-11-07T13:02:18.917785+00:00,"[140, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0]","[3.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001100', '', '', '', '', '']"
2025-11-07T13:02:19.064045+00:00,"[140, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:02:19.210293+00:00,"[140, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:36.564322+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:36.759343+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:36.856704+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:36.954312+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.051823+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.197952+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.344330+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.441845+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.587959+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.686144+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.831851+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:37.929221+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:38.075607+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:38.173113+00:00,"[140, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:38.319218+00:00,"[140, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0]","[2.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001011', '', '', '', '', '']"
2025-11-07T13:06:38.416809+00:00,"[140, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0]","[2.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001010', '', '', '', '', '']"
2025-11-07T13:06:38.562989+00:00,"[140, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0]","[2.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001001', '', '', '', '', '']"
2025-11-07T13:06:38.758111+00:00,"[140, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[2.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001001', '', '', '', '', '']"
2025-11-07T13:06:38.855600+00:00,"[140, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00001000', '', '', '', '', '']"
2025-11-07T13:06:38.952986+00:00,"[140, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[1.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000111', '', '', '', '', '']"
2025-11-07T13:06:39.050605+00:00,"[140, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-11-07T13:10:12.675799+00:00,"[128, 0, 0, 0, 0, 0]","[107, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:12.821541+00:00,"[128, 0, 0, 0, 0, 0]","[106, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
