hash,type,time,latdist_min,gps_lat,gps_lon,road_ref,road_type,road_maxspeed,road_oneway,road_lanes,road_length,road_width
b004105,ot,1.762521389640924e+18,229,58.427982166666666,15.540336,E 1035,tertiary,70,False,2,446.30238733675765,5.8
b71d31f,ot,1.762521622412952e+18,175,58.44335366666667,15.5382695,0,residential,0,False,0,750.8346545746816,[]
c01451f,ot,1.762521710915386e+18,239,58.449828833333335,15.536489,0,residential,0,False,0,750.8346545746817,[]
0618048,ot,1.762521960956712e+18,297,58.44746916666666,15.507375333333334,E 1041,tertiary,70,False,2,1446.2104425132623,"['5.3', '7.0']"
fa8014f,ot,1.762522031252886e+18,204,58.44790533333333,15.500109166666666,E 1041,tertiary,70,False,2,1446.2104425132623,"['5.3', '7.0']"
61cd011,ot,1.762523515120862e+18,196,58.44236416666666,15.371830166666667,E 1030,tertiary,70,False,2,1983.3577354080214,5.4
93bb491,ot,1.762523679604463e+18,234,58.4364915,15.3578725,E 1030,tertiary,70,False,2,1983.357735408022,5.4
ef445b3,ot,1.762523946923721e+18,243,58.42287516666666,15.342927333333334,E 1025,tertiary,70,False,2,848.1852321097132,5.4
e2f400b,ot,1.762524332125746e+18,197,58.410753666666665,15.303625333333333,E 1025,tertiary,70,False,2,998.6220189012683,"['5.7', '5.5']"
64b73e4,ot,1.7625243712441e+18,218,58.408076,15.3028765,E 1025,tertiary,70,False,2,998.6220189012683,"['5.7', '5.5']"
9ce70dd,ot,1.762524407385737e+18,226,58.40632416666666,15.30013,E 1025,tertiary,70,False,2,998.6220189012683,"['5.7', '5.5']"
1794e9c,ot,1.762525734259036e+18,124,58.400151,15.349224833333333,0,unclassified,0,False,0,1906.837697442396,[]
4a088b9,ot,1.762526126047444e+18,238,58.42040883333333,15.346660333333332,E 1026,tertiary,"['50', '70']",False,2,288.64468134424897,5.5
965b695,ot,1.762526399435931e+18,212,58.4299415,15.3700745,E 1030,tertiary,70,False,2,1983.357735408022,5.4
9f22796,ot,1.762526430930983e+18,175,58.43026316666667,15.374372833333334,E 1030,tertiary,70,False,2,1983.3577354080214,5.4
ab44375,ot,1.762526449583472e+18,171,58.430179,15.3764765,E 1030,tertiary,70,False,2,1983.357735408022,5.4
f4b8cfb,ot,1.762526812506815e+18,207,58.422058166666666,15.418931666666667,E 1030,tertiary,70,False,2,329.27349626238714,5
87b0de8,ot,1.762526863510469e+18,249,58.420848166666666,15.4245185,E 1030,tertiary,70,False,2,456.7169673702955,5
0b2a5f5,ot,1.762527046308773e+18,241,58.42146866666667,15.446820833333334,E 1030,tertiary,70,False,2,1063.626713863148,"['5.3', '5']"
5fe408c,ot,1.762527054344978e+18,224,58.42148616666667,15.447836,E 1030,tertiary,70,False,2,1063.626713863148,"['5.3', '5']"
8fcdc7d,ot,1.762527087527225e+18,168,58.42183166666667,15.4517995,E 1030,tertiary,70,False,2,1063.626713863148,"['5.3', '5']"
fe6cbe0,ot,1.762527248373771e+18,201,58.42447833333333,15.469854833333333,E 1030,tertiary,70,False,2,950.2837690406635,5.3
d21766c,ot,1.762527337053662e+18,247,58.4246905,15.4794165,E 1030,tertiary,70,False,2,959.0250233180528,8.0
60800f2,ot,1.762527470753471e+18,190,58.42507366666667,15.497200333333334,E 1030,tertiary,"['50', '70']",False,2,582.2570210370948,"['8.0', '8']"
1006d36,ot,1.762527491136775e+18,180,58.4241025,15.499232,E 1030,tertiary,50,False,2,329.1028143107989,8.5
29cb3d9,ot,1.762527510206637e+18,186,58.423353,15.500812,E 1030,tertiary,50,False,2,329.1028143107989,8.5
b23c491,ot,1.762528176998295e+18,149,58.423159166666665,15.571886,E 1030,tertiary,40,False,2,190.20161520481543,[]
6593b46,ot,1.762528185589405e+18,196,58.42293266666667,15.572741666666667,E 1030,tertiary,40,False,2,190.20161520481543,[]
b2f6cd8,ot,1.762528191793194e+18,175,58.42273483333334,15.573535166666666,E 1030,tertiary,40,False,2,190.20161520481543,[]
f6cfdef,ot,1.762528256510788e+18,207,58.42130783333333,15.581233,0,living_street,30,False,0,105.77447305179174,[]
